request_name,method,num_requests,num_failures,min_response_time,max_response_time,avg_response_time,median_response_time,p95,p99,current_rps,current_fail_per_sec,avg_content_length
/,GET,58,45,42.0,325.0,71.10839482830387,52,0,0,1.0,1.0,708.6379310344828
/repos/octocat/Hello-World,GET,125,104,42.0,394.0,67.22372000478208,50,0,0,2.3,2.3,1060.704
